,name,mana_cost,cmc,oracle_text,prices,set,rarity
0,Static Orb,{3},3.0,As long as This Card is untapped  players can't untap more than two permanents during their untap steps.,20.58,7ed,2
1,Sensory Deprivation,{U},1.0,Enchant creature Enchanted creature gets -3/-0.,0.04,m14,0
2,Road of Return,{G}{G},2.0,Choose one — • Return target permanent card from your graveyard to your hand. • Put your commander into your hand from the command zone. Entwine {2} (Choose both if you pay the entwine cost.),0.24,c19,2
3,Ravnica at War,{3}{W},4.0,Exile all multicolored permanents.,0.23,war,2
4,Torrent of Fire,{3}{R}{R},5.0,This Card deals damage to any target equal to the highest mana value among permanents you control.,0.12,scg,0
5,Waterknot,{1}{U}{U},3.0,Enchant creature When This Card enters the battlefield  tap enchanted creature. Enchanted creature doesn't untap during its controller's untap step.,0.04,jmp,0
6,Veil of Summer,{G},1.0,Draw a card if an opponent has cast a blue or black spell this turn. Spells you control can't be countered this turn. You and permanents you control gain hexproof from blue and from black until end of turn. (You and they can't be the targets of blue or black spells or abilities your opponents control.),6.04,m20,1
7,Aura Graft,{1}{U},2.0,Gain control of target Aura that's attached to a permanent. Attach it to another permanent it can enchant.,0.16,10e,1
8,Saheeli's Artistry,{4}{U}{U},6.0,Choose one or both — • Create a token that's a copy of target artifact. • Create a token that's a copy of target creature  except it's an artifact in addition to its other types.,0.22,c18,2
9,Safewright Quest,{G/W},1.0,Search your library for a Forest or Plains card  reveal it  put it into your hand  then shuffle.,0.20,shm,0
10,Instill Infection,{3}{B},4.0,Put a -1/-1 counter on target creature. Draw a card.,0.04,mm2,0
11,Strength of Night,{2}{G},3.0,Kicker {B} (You may pay an additional {B} as you cast this spell.) Creatures you control get +1/+1 until end of turn. If this spell was kicked  Zombie creatures you control get an additional +2/+2 until end of turn.,0.13,apc,0
12,Behemoth Sledge,{1}{G}{W},3.0,Equipped creature gets +2/+2 and has trample and lifelink. Equip {3},0.11,afc,1
13,Kindred Discovery,{3}{U}{U},5.0,As This Card enters the battlefield  choose a creature type. Whenever a creature you control of the chosen type enters the battlefield or attacks  draw a card.,4.72,clb,2
14,Strength of Unity,{3}{W},4.0,Enchant creature Domain — Enchanted creature gets +1/+1 for each basic land type among lands you control.,0.11,inv,0
15,Savai Triome,_,0.0,({T}: Add {R}  {W}  or {B}.) This Card enters the battlefield tapped. Cycling {3} ({3}  Discard this card: Draw a card.),12.91,iko,2
16,Thunderherd Migration,{1}{G},2.0,As an additional cost to cast this spell  reveal a Dinosaur card from your hand or pay {1}. Search your library for a basic land card  put it onto the battlefield tapped  then shuffle.,0.25,gn2,1
17,One with the Kami,{3}{G},4.0,Flash Enchant creature you control Whenever enchanted creature or another modified creature you control dies  create X 1/1 colorless Spirit creature tokens  where X is that creature's power. (Equipment  Auras you control  and counters are modifications.),0.22,nec,2
18,Goblin Barrage,{3}{R},4.0,Kicker—Sacrifice an artifact or Goblin. (You may sacrifice an artifact or Goblin in addition to any other costs as you cast this spell.) This Card deals 4 damage to target creature. If this spell was kicked  it also deals 4 damage to target player or planeswalker.,0.10,dom,1
19,Dungeon Delver,{1}{U},2.0,"Commander creatures you own have ""Room abilities of dungeons you own trigger an additional time.""",0.07,clb,1
20,Mind Extraction,{2}{B},3.0,As an additional cost to cast this spell  sacrifice a creature. Target player reveals their hand and discards all cards of each of the sacrificed creature's colors.,0.14,apc,0
21,Deem Worthy,{4}{R},5.0,This Card deals 7 damage to target creature. Cycling {3}{R} ({3}{R}  Discard this card: Draw a card.) When you cycle This Card  you may have it deal 2 damage to target creature.,0.06,akh,1
22,Coalition Relic,{3},3.0,{T}: Add one mana of any color. {T}: Put a charge counter on This Card. At the beginning of your precombat main phase  remove all charge counters from This Card. Add one mana of any color for each charge counter removed this way.,0.44,dmc,2
23,"Shizo, Death's Storehouse",_,0.0,{T}: Add {B}. {B}  {T}: Target legendary creature gains fear until end of turn. (It can't be blocked except by artifact creatures and/or black creatures.),8.77,dmc,2
24,Summon the School,{3}{W},4.0,Create two 1/1 blue Merfolk Wizard creature tokens. Tap four untapped Merfolk you control: Return This Card from your graveyard to your hand.,0.18,lrw,1
25,Mindlink Mech,{2}{U},3.0,Flying Whenever This Card becomes crewed for the first time each turn  until end of turn  This Card becomes a copy of target nonlegendary creature that crewed it this turn  except it's 4/3  it's a Vehicle artifact in addition to its other types  and it has flying. Crew 1,0.12,neo,2
26,Hunt the Hunter,{G},1.0,Target green creature you control gets +2/+2 until end of turn. It fights target green creature an opponent controls.,0.11,ths,1
27,Timber Gorge,_,0.0,This Card enters the battlefield tapped. {T}: Add {R} or {G}.,0.11,m19,0
28,Blur,{2}{U},3.0,Exile target creature you control  then return that card to the battlefield under its owner's control. Draw a card.,0.11,clb,0
29,Demonic Vigor,{B},1.0,Enchant creature Enchanted creature gets +1/+1. When enchanted creature dies  return that card to its owner's hand.,0.06,dom,0
30,Courier's Briefcase,{1}{G},2.0,When This Card enters the battlefield  create a 1/1 green and white Citizen creature token. {T}  Sacrifice This Card: Add one mana of any color. {W}{U}{B}{R}{G}  {T}  Sacrifice This Card: Draw three cards.,0.06,snc,1
31,Utopia Sprawl,{G},1.0,Enchant Forest As This Card enters the battlefield  choose a color. Whenever enchanted Forest is tapped for mana  its controller adds an additional one mana of the chosen color.,5.09,afc,0
32,Game Trail,_,0.0,As This Card enters the battlefield  you may reveal a Mountain or Forest card from your hand. If you don't  This Card enters the battlefield tapped. {T}: Add {R} or {G}.,0.18,clb,2
33,Lantern of Revealing,{3},3.0,{T}: Add one mana of any color. {4}  {T}: Look at the top card of your library. If it's a land card  you may put it onto the battlefield tapped. If you don't put the card onto the battlefield  you may put it on the bottom of your library.,0.08,clb,0
34,Harvest Pyre,{1}{R},2.0,As an additional cost to cast this spell  exile X cards from your graveyard. This Card deals X damage to target creature.,0.08,isd,0
35,Bond of Discipline,{4}{W},5.0,Tap all creatures your opponents control. Creatures you control gain lifelink until end of turn.,0.10,war,1
36,Selesnya Sanctuary,_,0.0,This Card enters the battlefield tapped. When This Card enters the battlefield  return a land you control to its owner's hand. {T}: Add {G}{W}.,0.25,2x2,1
37,Collective Voyage,{G},1.0,Join forces — Starting with you  each player may pay any amount of mana. Each player searches their library for up to X basic land cards  where X is the total amount of mana paid this way  puts them onto the battlefield tapped  then shuffles.,5.89,c16,2
38,Waste Not,{1}{B},2.0,Whenever an opponent discards a creature card  create a 2/2 black Zombie creature token. Whenever an opponent discards a land card  add {B}{B}. Whenever an opponent discards a noncreature  nonland card  draw a card.,13.99,c16,2
39,Spell Contortion,{2}{U},3.0,Multikicker {1}{U} (You may pay an additional {1}{U} any number of times as you cast this spell.) Counter target spell unless its controller pays {2}. Draw a card for each time This Card was kicked.,0.11,wwk,1
40,Refocus,{1}{U},2.0,Untap target creature. Draw a card.,0.11,frf,0
41,Duplicity,{3}{U}{U},5.0,When This Card enters the battlefield  exile the top five cards of your library face down. At the beginning of your upkeep  you may exile all cards from your hand face down. If you do  put all other cards you own exiled with This Card into your hand. At the beginning of your end step  discard a card. When you lose control of This Card  put all cards exiled with This Card into their owner's graveyard.,0.22,tmp,2
42,Ondu Rising,{1}{W},2.0,Whenever a creature attacks this turn  it gains lifelink until end of turn. Awaken 4—{4}{W} (If you cast this spell for {4}{W}  also put four +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.),0.05,bfz,1
43,Chamber of Manipulation,{2}{U}{U},4.0,"Enchant land Enchanted land has ""{T}  Discard a card: Gain control of target creature until end of turn.""",1.35,ody,1
44,Sanguine Indulgence,{3}{B},4.0,This spell costs {3} less to cast if you've gained 3 or more life this turn. Return up to two target creature cards from your graveyard to your hand.,0.03,m21,0
45,Etchings of the Chosen,{1}{W}{B},3.0,As This Card enters the battlefield  choose a creature type. Creatures you control of the chosen type get +1/+1. {1}  Sacrifice a creature of the chosen type: Target creature you control gains indestructible until end of turn.,0.54,mh1,1
46,Heartwarming Redemption,{2}{R}{W},4.0,Discard all the cards in your hand  then draw that many cards plus one. You gain life equal to the number of cards in your hand.,0.10,war,1
47,Fracturing Gust,{2}{G/W}{G/W}{G/W},5.0,Destroy all artifacts and enchantments. You gain 2 life for each permanent destroyed this way.,5.29,shm,2
48,Campfire,{1},1.0,{1}  {T}: You gain 2 life. {2}  {T}  Exile This Card: Put all commanders you own from the command zone and from your graveyard into your hand. Then shuffle your graveyard into your library.,0.16,clb,1
49,Divergent Growth,{G},1.0,"Until end of turn  lands you control gain ""{T}: Add one mana of any color.""",0.10,scg,0
50,Minion Reflector,{5},5.0,"Whenever a nontoken creature enters the battlefield under your control  you may pay {2}. If you do  create a token that's a copy of that creature  except it has haste and ""At the beginning of the end step  sacrifice this permanent.""",1.48,ala,2
51,Cruel Ultimatum,{U}{U}{B}{B}{B}{R}{R},7.0,Target opponent sacrifices a creature  discards three cards  then loses 5 life. You return a creature card from your graveyard to your hand  draw three cards  then gain 5 life.,0.53,e01,2
52,Dragon Fangs,{1}{G},2.0,Enchant creature Enchanted creature gets +1/+1 and has trample. When a creature with mana value 6 or greater enters the battlefield  you may return This Card from your graveyard to the battlefield attached to that creature.,0.18,scg,0
53,Square Up,{1}{G/U},2.0,Target creature has base power and toughness 4/4 until end of turn.,0.01,stx,0
54,Bull Rush,{R},1.0,Target creature gets +2/+0 until end of turn.,0.10,wwk,0
55,Grip of Amnesia,{1}{U},2.0,Counter target spell unless its controller exiles all cards from their graveyard. Draw a card.,0.20,jud,0
56,Deny the Divine,{2}{U},3.0,Counter target creature or enchantment spell. If that spell is countered this way  exile it instead of putting it into its owner's graveyard.,0.02,thb,0
57,Sunbeam Spellbomb,{1},1.0,{W}  Sacrifice This Card: You gain 5 life. {1}  Sacrifice This Card: Draw a card.,0.18,mrd,0
59,Doubling Season,{4}{G},5.0,If an effect would create one or more tokens under your control  it creates twice that many of those tokens instead. If an effect would put one or more counters on a permanent you control  it puts twice that many of those counters on that permanent instead.,84.98,2xm,3
60,Gerrard's Hourglass Pendant,{1},1.0,Flash If a player would begin an extra turn  that player skips that turn instead. {4}  {T}  Exile This Card: Return to the battlefield tapped all artifact  creature  enchantment  and land cards in your graveyard that were put there from the battlefield this turn.,4.58,dmc,2
61,Giant's Amulet,{U},1.0,"When This Card enters the battlefield  you may pay {3}{U}. If you do  create a 4/4 blue Giant Wizard creature token  then attach This Card to it. Equipped creature gets +0/+1 and has ""This creature has hexproof as long as it's untapped."" (It can't be the target of spells or abilities your opponents control.) Equip {2}",0.10,khm,1
62,Arcbond,{2}{R},3.0,Choose target creature. Whenever that creature is dealt damage this turn  it deals that much damage to each other creature and each player.,0.44,frf,2
64,Gix's Caress,{2}{B},3.0,"Target opponent reveals their hand. You choose a nonland card from it. That player discards that card. Create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",0.12,bro,0
65,Cabal Therapy,{B},1.0,Choose a nonland card name. Target player reveals their hand and discards all cards with that name. Flashback—Sacrifice a creature. (You may cast this card from your graveyard for its flashback cost. Then exile it.),0.78,ema,1
66,Urborg Volcano,_,0.0,This Card enters the battlefield tapped. {T}: Add {B} or {R}.,0.26,c17,1
67,Throttle,{4}{B},5.0,Target creature gets -4/-4 until end of turn.,0.04,soi,0
68,Lich's Caress,{3}{B}{B},5.0,Destroy target creature. You gain 3 life.,0.05,m19,0
69,Summoning Station,{7},7.0,{T}: Create a 2/2 colorless Pincher creature token. Whenever an artifact is put into a graveyard from the battlefield  you may untap This Card.,3.85,5dn,2
70,What's Yours Is Now Mine,_,0.0,When you set this scheme in motion  gain control of target creature an opponent controls and untap it.,0.83,oe01,0
71,Thran Vigil,{1}{B},2.0,Whenever one or more artifact and/or creature cards leave your graveyard during your turn  put a +1/+1 counter on target creature you control.,0.13,bro,1
72,Pir's Whim,{3}{G},4.0,For each player  choose friend or foe. Each friend searches their library for a land card  puts it onto the battlefield tapped  then shuffles. Each foe sacrifices an artifact or enchantment they control.,1.43,bbd,2
73,Rhonas's Last Stand,{G}{G},2.0,Create a 5/4 green Snake creature token. Lands you control don't untap during your next untap step.,0.10,hou,2
74,Sword of Light and Shadow,{3},3.0,Equipped creature gets +2/+2 and has protection from white and from black. Whenever equipped creature deals combat damage to a player  you gain 3 life and you may return up to one target creature card from your graveyard to your hand. Equip {2},17.16,2xm,3
75,Dictate of Karametra,{3}{G}{G},5.0,Flash Whenever a player taps a land for mana  that player adds one mana of any type that land produced.,0.91,jou,2
76,Cryptwailing,{3}{B},4.0,{1}  Exile two creature cards from your graveyard: Target player discards a card. Activate only as a sorcery.,0.08,gpt,1
77,Ionize,{1}{U}{R},3.0,Counter target spell. This Card deals 2 damage to that spell's controller.,0.39,grn,2
78,Dreadhorde Invasion,{1}{B},2.0,At the beginning of your upkeep  you lose 1 life and amass 1. (Put a +1/+1 counter on an Army you control. If you don't control one  create a 0/0 black Zombie Army creature token first.) Whenever a Zombie token you control with power 6 or greater attacks  it gains lifelink until end of turn.,0.34,mic,2
79,Goblin Gathering,{2}{R},3.0,Create a number of 1/1 red Goblin creature tokens equal to two plus the number of cards named This Card in your graveyard.,0.06,rna,0
80,Comeuppance,{3}{W},4.0,Prevent all damage that would be dealt to you and planeswalkers you control this turn by sources you don't control. If damage from a creature source is prevented this way  This Card deals that much damage to that creature. If damage from a noncreature source is prevented this way  This Card deals that much damage to the source's controller.,7.99,c14,2
81,Sphinx's Insight,{2}{W}{U},4.0,Draw two cards. Addendum — If you cast this spell during your main phase  you gain 2 life.,0.01,rna,0
82,Eye of the Storm,{5}{U}{U},7.0,Whenever a player casts an instant or sorcery card  exile it. Then that player copies each instant or sorcery card exiled with This Card. For each copy  the player may cast the copy without paying its mana cost.,1.00,rav,2
83,Lotus Vale,_,0.0,If This Card would enter the battlefield  sacrifice two untapped lands instead. If you do  put This Card onto the battlefield. If you don't  put it into its owner's graveyard. {T}: Add three mana of any one color.,43.78,wth,2
84,Flooded Shoreline,{U}{U},2.0,{U}{U}  Return two Islands you control to their owner's hand: Return target creature to its owner's hand.,1.77,vis,2
85,Compulsory Rest,{1}{W},2.0,"Enchant creature Enchanted creature can't attack or block. Enchanted creature has ""{2}  Sacrifice this creature: You gain 2 life.""",0.03,akh,0
86,Ponder,{U},1.0,Look at the top three cards of your library  then put them back in any order. You may shuffle. Draw a card.,2.59,ncc,0
87,Vraska's Scorn,{2}{B}{B},4.0,Target opponent loses 4 life. You may search your library and/or graveyard for a card named Vraska  Scheming Gorgon  reveal it  and put it into your hand. If you search your library this way  shuffle.,0.16,rix,2
