,name,mana_cost,cmc,oracle_text,power,toughness,prices,set,rarity
0,Simian Simulacrum,{3},3.0,When This Card enters the battlefield  put two +1/+1 counters on target creature you control. Unearth {2}{G}{G} ({2}{G}{G}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.),2.0,1.0,0.29,bro,2
1,Sardian Cliffstomper,{1}{R},2.0,As long as it's your turn and you control four or more Mountains  This Card gets +X/+0  where X is the number of Mountains you control.,0.0,4.0,2.68,bro,1
2,"Liberator, Urza's Battlethopter",{3},3.0,Flash Flying You may cast colorless spells and artifact spells as though they had flash. Whenever you cast a spell  if the amount of mana spent to cast that spell is greater than This Card's power  put a +1/+1 counter on Liberator.,1.0,2.0,3.77,bro,2
3,Skystrike Officer,{2}{U},3.0,Flying Whenever This Card attacks  create a 1/1 colorless Soldier artifact creature token. Tap three untapped Soldiers you control: Draw a card.,2.0,3.0,0.79,bro,2
4,Bladecoil Serpent,{X}{6},6.0,When This Card enters the battlefield  for each {U}{U} spent to cast it  draw a card. When This Card enters the battlefield  for each {B}{B} spent to cast it  each opponent discards a card. When This Card enters the battlefield  for each {R}{R} spent to cast it  it gets +1/+0 and gains trample and haste until end of turn.,5.0,4.0,1.57,bro,3
5,Keeper of the Cadence,{4}{U},5.0,{3}: Put target artifact  instant  or sorcery card from a graveyard on the bottom of its owner's library.,2.0,5.0,0.08,bro,1
6,Surge Engine,{2},2.0,"Defender {U}: This Card loses defender and gains ""This creature can't be blocked."" {2}{U}: This Card becomes blue and has base power and toughness 5/4. Activate only if This Card doesn't have defender. {4}{U}{U}: Draw three cards. Activate only if This Card is blue and only once.",3.0,2.0,2.78,bro,3
7,Giant Cindermaw,{2}{R},3.0,Trample Players can't gain life.,4.0,3.0,0.09,bro,1
8,Platoon Dispenser,{5},5.0,At the beginning of your end step  if you control two or more other creatures  draw a card. {3}{W}: Create a 1/1 colorless Soldier artifact creature token. Unearth {2}{W}{W},4.0,6.0,3.28,bro,3
9,Combat Courier,{1},1.0,{2}  Sacrifice This Card: Draw a card. Unearth {U} ({U}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.),1.0,1.0,0.09,bro,0
